Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24578398,Ingordigia : Il rapporto deformato con il cibo,Enzo Bianchi,"Bianchi, Enzo",,"=""8821577139""","=""9788821577130""",1,3.40,San Paolo,Paperback,60,2012,,2015/01/19,2015/01/19,religione,religione (#17),read,,,,1,0
20436350,L'uomo che si vendicò di Dio,M. Raymond,"Raymond, M.",,"=""8821515265""","=""9788821515262""",5,4.16,San Paolo,Paperback,176,1988,1988,2015/02/13,2015/01/28,"avventura, religione","avventura (#4), religione (#16)",read,,,,1,0
24739821,Conversazioni sul cristianesimo,Napoléon Bonaparte,"Bonaparte, Napoléon",,"=""8870948498""","=""9788870948493""",4,4.33,ESD-Edizioni Studio Domenicano,Paperback,96,2013,2013,2015/01/27,2015/01/30,"apologesi, religione","apologesi (#4), religione (#15)",read,,,,1,0
25001036,Caritas in Veritate,Pope Benedict XVI,"XVI, Pope Benedict",,"=""8820982501""","=""9788820982508""",5,4.43,Libreria Editrice Vaticana,Paperback,0,2009,2009,,2015/02/23,religione,religione (#13),read,,,,1,0
19449646,Lettere (Italian Edition),Cateina Da Siena,"Siena, Cateina Da",,"=""""","=""""",3,4.00,,Kindle Edition,0,2013,2013,2014/08/13,2014/05/15,"spirituale, religione, storia","spirituale (#7), religione (#12), storia (#5)",read,,,,1,0
16099176,Jesus of Nazareth: The Infancy Narratives,Pope Benedict XVI,"XVI, Pope Benedict",,"=""0804120978""","=""9780804120975""",5,4.51,Random House Large Print,Paperback,256,2012,2004,,2014/06/17,"religione, spirituale","religione (#11), spirituale (#6)",read,,,,1,0
3760005,Il mondo nuovo / Ritorno al mondo nuovo,Aldous Huxley,"Huxley, Aldous","Luciano Bianciardi, Lorenzo Gigli","=""8804487801""","=""9788804487807""",5,4.16,A. Mondadori,Paperback,344,2000,1958,,2014/06/17,"fantascienza, religione, romanzo","fantascienza (#4), religione (#10), romanzo (#4)",read,,,,1,0
9488716,"Jesus of Nazareth, Part Two: Holy Week: From the Entrance into Jerusalem to the Resurrection",Pope Benedict XVI,"XVI, Pope Benedict",Vatican Secretariat of State,"=""1586175009""","=""9781586175009""",5,4.61,Ignatius Press,Hardcover,384,2011,2011,,2014/06/17,"religione, spirituale","religione (#9), spirituale (#5)",read,,,,1,0
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",4,3.59,Vintage,Paperback,259,1992,1962,,2014/06/17,fantascienza,fantascienza (#3),read,,,,1,0
10432399,Il cacciatore di draghi ovvero il fattore Giles di Ham,J.R.R. Tolkien,"Tolkien, J.R.R.","Isabella Murro, Pauline Baynes","=""8845259900""","=""9788845259906""",3,3.89,Bompiani,Paperback,160,2007,1949,2016/11/13,2014/05/15,fantasy,fantasy (#7),read,,,,1,0
